title,year,genre,director,rating,votes,runtime,revenue
The Beast,1988,War,Quentin Tarantino,6.7,4582,116,
Beetlejuice,1988,"Comedy, Fantasy, Horror",Peter Jackson,5.5,9510,101,13.8
Betrayed,1988,"Spy, Thriller",Wes Anderson,7.8,30164,104,
Big,1988,"Comedy, Drama, Fantasy",Peter Jackson,5.8,41559,121,42.2
The Big Blue,1988,Drama,Francis Ford Coppola,7.4,1134,100,130.7
Big Business,1988,Comedy,Paul Thomas Anderson,5.3,15929,99,231.7
Big Time,1988,"Performance, Musical",David Fincher,9.2,17822,87,
Big Top Pee-wee,1988,Comedy,Martin Scorsese,6.7,24414,136,
Biloxi Blues,1988,"Comedy, Drama, War",Francis Ford Coppola,6.1,85903,137,10.2
Bird,1988,"Biography, Drama",Ridley Scott,5.5,48913,120,
Black Eagle,1988,Action,Peter Jackson,7.2,62073,139,
Black Roses,1988,Horror,Alfred Hitchcock,7.5,1884,127,
The Blob,1988,"Science Fiction, Horror",Denis Villeneuve,8.4,34436,96,38.2
Blood Orgy of the Leather Girls,1988,"Comedy, Horror",Steven Spielberg,7.2,59378,111,491.5
Bloodsport,1988,"Martial Arts, Action",David Fincher,5.9,98183,124,258.1
Bloodstone,1988,"Adventure, Action",Alfred Hitchcock,6.2,2853,142,
The Blue Iguana,1988,"Action, Comedy, Crime",Stanley Kubrick,5.4,34825,132,158.2
The Boost,1988,Drama,Unknown Director,7.6,13399,131,89.3
The Bourne Identity,1988,"Suspense, Action, Mystery",Quentin Tarantino,6.5,94081,88,56.6
Braddock: Missing in Action III,1988,"Action, Adventure",James Cameron,5.8,1841,111,97.3
Brain Damage,1988,"Horror, Comedy",Coen Brothers,7.3,22584,136,
Bravestarr: The Legend,1988,"Animated, Western",James Cameron,4.3,6677,106,
"Bright Lights, Big City",1988,Drama,Martin Scorsese,5.1,13062,81,48.1
Bull Durham,1988,"Sports, Comedy, Romance",Coen Brothers,6.3,58023,82,
Bulletproof,1988,Action,Wes Anderson,7.2,512,90,108.3
Caddyshack II,1988,"Comedy, Sports",Peter Jackson,6.3,36021,92,
Call Me,1988,"Erotic, Thriller",David Fincher,5.4,90331,90,1068.5
The Carpenter,1988,Horror,Alfred Hitchcock,7.8,1408,117,549.0
Casual Sex?,1988,Comedy,Ridley Scott,5.9,94481,113,34.0
Catacombs,1988,Horror,Quentin Tarantino,7.1,44652,95,
Cellar Dweller,1988,Horror,David Fincher,4.8,74243,131,222.7
Cherry 2000,1988,Science Fiction,Quentin Tarantino,5.2,92672,105,
Child's Play,1988,Slasher,Coen Brothers,6.5,15059,111,48.8
The Chocolate War,1988,Drama,David Fincher,7.4,3292,105,
Christmas in Tattertown,1988,Animated,Ridley Scott,6.9,20109,105,122.0
Clara's Heart,1988,Drama,Christopher Nolan,9.0,81561,121,58.6
Clean and Sober,1988,Drama,Francis Ford Coppola,6.3,37568,114,
Cocktail,1988,"Romance, Comedy, Drama",Christopher Nolan,8.0,32353,116,127.9
Cocoon: The Return,1988,"Science Fiction, Comedy, Drama",Wes Anderson,7.9,66813,103,118.4
Colors,1988,"Crime, Drama, Action",Wes Anderson,6.9,33138,120,83.8
Comic Book Confidential,1988,Documentary,Quentin Tarantino,4.6,12281,123,62.3
Coming to America,1988,"Romance, Comedy",Quentin Tarantino,7.2,90178,117,
Cop,1988,"Crime, Drama, Noir",Ridley Scott,7.0,17637,94,
The Couch Trip,1988,Comedy,Denis Villeneuve,7.1,3264,128,101.0
Crash Course,1988,Comedy,Alfred Hitchcock,6.3,3815,134,30.6
Critters 2: The Main Course,1988,"Science Fiction, Comedy, Horror",Ridley Scott,7.5,14364,95,50.7
Crocodile Dundee II,1988,"Action, Comedy",Francis Ford Coppola,4.2,15185,144,
Crossing Delancey,1988,"Romance, Comedy",Peter Jackson,7.5,24960,101,
A Cry in the Dark,1988,"Documentary, Drama",Paul Thomas Anderson,6.8,34520,125,
D.O.A.,1988,"Noir, Mystery, Thriller",Coen Brothers,7.0,67984,149,117.3
Da,1988,Drama,Alfred Hitchcock,4.4,160475,120,
Daffy Duck's Quackbusters,1988,Animated,Steven Spielberg,5.7,150406,95,173.9
Dakota,1988,Drama,Unknown Director,4.8,37748,111,
Dance 'Til Dawn,1988,"Drama, Teen",Stanley Kubrick,10.0,205591,75,
Danger Down Under,1988,Drama,Quentin Tarantino,5.4,15531,73,
Dangerous Curves,1988,Comedy,Paul Thomas Anderson,4.6,18564,105,115.1
Dangerous Liaisons,1988,"Drama, Historical, Romance",Denis Villeneuve,7.7,6184,112,
Deadbeat at Dawn,1988,Action,Alfred Hitchcock,5.2,1773,138,
Dead Heat,1988,"Horror, Action, Comedy",Wes Anderson,6.1,34556,102,
The Dead Pool,1988,"Action, Thriller, Noir",Steven Spielberg,7.8,56216,123,315.6
Dead Ringers,1988,"Drama, Thriller",Steven Spielberg,7.4,448,125,
Dead Solid Perfect,1988,Comedy,Denis Villeneuve,7.6,60010,93,
Deadly Dreams,1988,"Slasher, Horror",Wes Anderson,7.7,12197,145,354.1
Death Faces,1988,"Horror, Satire",David Fincher,6.7,48542,87,56.0
Deathstalker III: The Warriors from Hell,1988,Fantasy,Steven Spielberg,5.2,5358,124,
The Decline of Western Civilization II,1988,Documentary,Christopher Nolan,7.9,5302,89,
Destroyer,1988,Slasher,James Cameron,6.1,57485,99,
Die Hard,1988,Action,Paul Thomas Anderson,5.8,6008,77,212.0
Dirty Rotten Scoundrels,1988,Comedy,Peter Jackson,7.4,93615,143,
Distant Thunder,1988,Drama,James Cameron,5.0,66692,108,116.7
Dominick and Eugene,1988,Drama,Steven Spielberg,7.3,94154,108,7.4
Dorf's Golf Bible,1988,"Comedy, Short",Unknown Director,6.3,3341,111,349.8
The Drifter,1988,Thriller,Peter Jackson,6.1,16414,94,23.5
Earth Girls Are Easy,1988,"Comedy, Musical, Science Fiction",Unknown Director,3.7,24512,127,152.1
Eight Men Out,1988,"Biography, Sports, Drama",Stanley Kubrick,5.2,107766,80,
"Elvira, Mistress of the Dark",1988,"Comedy, Horror",Unknown Director,4.3,9699,122,94.1
Elvis and Me,1988,Biography,Coen Brothers,5.9,14284,83,16.4
Ernest Saves Christmas,1988,Comedy,Paul Thomas Anderson,6.9,80617,72,
Everybody's All-American,1988,"Drama, Sports",Stanley Kubrick,7.6,24890,83,56.6
Far North,1988,"Drama, Comedy",Christopher Nolan,7.5,224087,137,120.3
Feds,1988,Comedy,Ridley Scott,6.6,6866,69,5.0
A Fish Called Wanda,1988,"Comedy, Action",Martin Scorsese,6.9,16776,96,
Flesheater,1988,Horror,Quentin Tarantino,5.5,28387,99,34.8
For Keeps?,1988,"Drama, Comedy, Teen",Christopher Nolan,5.9,30555,146,
Frantic,1988,"Thriller, Mystery, Noir",Denis Villeneuve,5.8,26217,108,
Freeway,1988,"Thriller, Noir",David Fincher,6.8,214561,123,23.2
Fresh Horses,1988,Drama,Peter Jackson,5.1,132863,106,238.4
Friday the 13th Part VII: The New Blood,1988,"Slasher, Supernatural",Paul Thomas Anderson,9.5,14675,118,69.5
Full Moon in Blue Water,1988,"Comedy, Drama",Martin Scorsese,7.0,36484,132,91.3
Fun Down There,1988,Drama,Unknown Director,5.1,45534,105,
Funny Farm,1988,Comedy,Ridley Scott,7.0,4636,119,
Garfield: His 9 Lives,1988,"Animated, Short",Quentin Tarantino,6.8,19061,107,87.8
Ghost Town,1988,"Horror, Western",Denis Villeneuve,5.6,79878,152,
'Gator Bait II: Cajun Justice,1988,Action,Coen Brothers,6.7,19414,100,26.7
The Good Mother,1988,Drama,David Fincher,4.9,7883,98,145.0
"The Good, the Bad, and Huckleberry Hound",1988,"Animated, Western",Martin Scorsese,4.7,14001,113,
Gorillas in the Mist,1988,"Biography, Drama",David Fincher,5.9,15784,68,
Gotham,1988,Thriller,Unknown Director,6.5,24704,121,791.2
Grave of the Fireflies,1988,"Animated, War",Wes Anderson,7.0,12623,101,668.8
The Great Escape II: The Untold Story,1988,"War, Action, Adventure",James Cameron,6.5,78739,126,
The Great Outdoors,1988,"Comedy, War",Ridley Scott,7.3,6695,118,405.8
Hairspray,1988,"Comedy, Musical",Martin Scorsese,6.6,15228,79,364.8
Halloween 4: The Return of Michael Myers,1988,Slasher,Stanley Kubrick,8.6,37026,78,
Hanna's War,1988,Action,Coen Brothers,6.1,9397,115,236.3
Haunted Summer,1988,Drama,Denis Villeneuve,6.3,858,136,
Heart of Midnight,1988,Thriller,Denis Villeneuve,6.0,13171,120,238.8
Heartbreak Hotel,1988,Comedy,David Fincher,6.0,25297,135,149.1
Heathers,1988,"Comedy, Teen",Alfred Hitchcock,5.8,83432,70,966.9
Hellbound: Hellraiser II,1988,"Supernatural, Horror",Peter Jackson,5.8,37093,114,346.4
Hell Comes to Frogtown,1988,"Science Fiction, Action",Wes Anderson,6.0,40039,131,179.7
Hero and the Terror,1988,"Action, Martial Arts",Martin Scorsese,5.5,7629,99,
High Spirits,1988,"Comedy, Fantasy",Peter Jackson,6.0,29602,98,
Hobgoblins,1988,"Comedy, Horror, Independent",Francis Ford Coppola,5.4,39447,87,561.1
Hollywood Chainsaw Hookers,1988,"Comedy, Slasher",Stanley Kubrick,6.0,27398,87,
Homeboy,1988,Drama,Coen Brothers,6.3,35992,146,
Hot to Trot,1988,Comedy,Steven Spielberg,7.2,180,103,777.2
The House on Carroll Street,1988,"Thriller, Noir",Quentin Tarantino,6.5,54408,148,8667.8
Howling IV: The Original Nightmare,1988,Horror,James Cameron,5.8,64150,89,
I'm Gonna Git You Sucka,1988,"Comedy, Satire",Paul Thomas Anderson,5.4,33735,136,264.1
Ika Hands,1988,Drama,Alfred Hitchcock,6.3,42383,136,
Illegally Yours,1988,Comedy,Martin Scorsese,6.0,17690,86,
The Incredible Hulk Returns,1988,Superhero,Alfred Hitchcock,7.4,28181,101,445.7
The In Crowd,1988,"Comedy, Drama, Musical",Ridley Scott,6.4,9044,117,5.4
Iron Eagle II,1988,Action,Peter Jackson,7.0,80865,85,
It Came from Somewhere Else,1988,Comedy,Denis Villeneuve,7.1,74266,111,17.4
Jack's Back,1988,"Crime, Thriller, Horror",James Cameron,8.4,19039,76,
Johnny Be Good,1988,Comedy,Denis Villeneuve,8.2,10302,137,289.8
Judgment in Berlin,1988,Drama,Wes Anderson,7.0,124577,82,
Justin Case,1988,Comedy,Steven Spielberg,6.7,2784,138,68.7
Kansas,1988,"Crime, Drama",Denis Villeneuve,9.1,104115,124,
Kenny,1988,Documentary,Stanley Kubrick,6.3,11603,111,
Killer Klowns from Outer Space,1988,"Science Fiction, Horror, Comedy",Ridley Scott,7.1,8857,92,9.1
The Kiss,1988,"Horror, Supernatural",Wes Anderson,6.2,115149,134,
Lady in White,1988,"Horror, Independent, Mystery",Alfred Hitchcock,5.7,70574,88,
The Land Before Time,1988,"Animated, Adventure, Drama",Ridley Scott,8.3,21192,100,24.0
Last Rites,1988,Thriller,Unknown Director,8.1,64209,115,66.8
The Last Slumber Party,1988,Horror,Peter Jackson,6.6,16002,120,100.2
The Last Temptation of Christ,1988,Drama,Ridley Scott,6.3,90168,118,
Laura Lansing Slept Here,1988,"Drama, Comedy",Alfred Hitchcock,5.1,18358,108,9.4
Liberace,1988,Biography,Stanley Kubrick,5.7,37347,118,1037.0
Liberace: Behind the Music,1988,Biography,Coen Brothers,6.2,27197,113,153.4
License to Drive,1988,"Comedy, Teen",David Fincher,4.5,25894,119,5.4
Light Years,1988,"Animated, Fantasy",James Cameron,6.7,48948,74,68.4
Little Nikita,1988,"Drama, Thriller",Christopher Nolan,5.3,5485,93,330.1
Mac and Me,1988,"Fantasy, Science Fiction",Paul Thomas Anderson,6.3,48495,60,
Macho Dancer,1988,Unknown,Peter Jackson,6.8,7433,94,
Madame Sousatzka,1988,Drama,Peter Jackson,5.2,29734,105,59.7
A Man for All Seasons,1988,"Biography, Drama",Alfred Hitchcock,5.4,896,147,
The Man from Snowy River II,1988,"Western, Drama",Coen Brothers,6.9,2128,80,49.7
Maniac Cop,1988,"Action, Slasher",Peter Jackson,5.1,54260,129,162.1
Married to the Mob,1988,"Comedy, Crime",Ridley Scott,4.9,62777,85,13.9
Masquerade,1988,"Thriller, Mystery, Romance",Ridley Scott,6.5,13127,100,
Memories of Me,1988,"Drama, Comedy",Peter Jackson,6.0,38187,133,29.1
Messenger of Death,1988,"Crime, Drama, Action",Peter Jackson,6.8,44009,72,
Mickey's 60th Birthday,1988,"Fantasy, Live Action, Animated",Christopher Nolan,5.2,17048,87,135.1
Midnight Crossing,1988,"Mystery, Thriller",Christopher Nolan,6.2,8019,100,3665.9
Midnight Run,1988,"Action, Comedy",Alfred Hitchcock,8.3,40836,119,
The Milagro Beanfield War,1988,"Drama, Comedy",Quentin Tarantino,9.3,287273,134,291.6
Miles from Home,1988,"Drama, Action, Thriller",Coen Brothers,5.4,6642,92,7.1
Miracle Mile,1988,"Drama, Thriller",Francis Ford Coppola,5.8,10976,80,1018.6
Missile,1988,Documentary,Steven Spielberg,6.9,64434,98,467.9
Mississippi Burning,1988,"Crime, Thriller",Denis Villeneuve,6.3,16498,102,
The Moderns,1988,"Comedy, Drama",Martin Scorsese,4.2,41130,130,216.5
Monkey Shines,1988,Horror,Ridley Scott,5.9,72760,151,5.8
Moon Over Parador,1988,"Comedy, Romance",David Fincher,5.1,48836,111,
Moonwalker,1988,"Biography, Musical",Quentin Tarantino,4.9,38955,106,215.4
Moving,1988,Comedy,Ridley Scott,6.0,332,109,164.3
Mr. North,1988,"Comedy, Drama, War",Unknown Director,8.3,158575,86,415.7
The Murder of Mary Phagan,1988,Drama,Alfred Hitchcock,6.7,113860,101,3.8
My Best Friend Is a Vampire,1988,"Comedy, Horror",Alfred Hitchcock,6.4,14041,121,127.1
My Stepmother Is an Alien,1988,"Comedy, Science Fiction",Unknown Director,7.0,42868,87,
Mystic Pizza,1988,"Comedy, Drama, Romance",Peter Jackson,7.3,7858,113,154.4
The Naked Gun: From the Files of Police Squad!,1988,"Comedy, Crime",Alfred Hitchcock,7.9,5979,95,
Necromancer,1988,Horror,Ridley Scott,6.4,42486,88,
Negatives,1988,Horror,Quentin Tarantino,6.6,4827,127,
The Nest,1988,"Science Fiction, Horror",Wes Anderson,6.2,18535,127,13.7
The New Adventures of Pippi Longstocking,1988,"Family, Adventure, Musical",Steven Spielberg,7.8,20840,142,
A New Life,1988,"Romance, Comedy",Coen Brothers,4.4,52431,116,53.0
The Night Before,1988,Comedy,Coen Brothers,4.7,29929,103,253.2
A Night in the Life of Jimmy Reardon,1988,"Drama, Teen",Steven Spielberg,6.7,81198,86,55.3
Night of the Demons,1988,"Supernatural, Horror",Ridley Scott,8.4,10504,115,84.3
Nightmare at Bittercreek,1988,"Drama, Action, Thriller",David Fincher,5.0,71696,113,
Nightmare at Noon,1988,"Action, Horror",Christopher Nolan,6.2,75377,120,
A Nightmare on Elm Street 4: The Dream Master,1988,"Slasher, Fantasy",Denis Villeneuve,5.5,120200,150,99.0
Ninja Strike Force,1988,Action,David Fincher,7.5,59515,114,
"No Retreat, No Surrender 2",1988,Martial Arts,Stanley Kubrick,8.2,912,127,22.6
Not of This Earth,1988,"Science Fiction, Comedy, Horror",Paul Thomas Anderson,6.6,37657,114,315.5
Off Limits,1988,"Drama, War, Action",Stanley Kubrick,7.1,9874,120,11.6
Oliver & Company,1988,"Animated, Adventure, Musical",Steven Spielberg,5.7,86742,136,71.7
Ollie Hopnoodle's Haven of Bliss,1988,Comedy,Quentin Tarantino,7.4,13745,112,75.4
Out of Time,1988,"Comedy, Science Fiction",Denis Villeneuve,5.5,75590,81,7.4
Paramedics,1988,Comedy,Wes Anderson,7.9,13687,81,
Pass the Ammo,1988,Comedy,David Fincher,6.4,18382,129,
Patty Hearst,1988,"Drama, Biography",Martin Scorsese,6.9,46667,141,
Permanent Record,1988,Drama,Alfred Hitchcock,5.7,7189,91,
Phantasm II,1988,"Horror, Action, Fantasy",Coen Brothers,5.8,15051,91,
Picasso Trigger,1988,Action,Stanley Kubrick,6.4,12904,96,
Pin,1988,Horror,David Fincher,7.0,59108,150,290.5
Plain Clothes,1988,Comedy,James Cameron,8.2,48350,150,
Platoon Leader,1988,War,Stanley Kubrick,5.2,37896,94,
Police Academy 5: Assignment Miami Beach,1988,Comedy,Ridley Scott,5.8,10728,114,
Poltergeist III,1988,"Horror, Supernatural",Wes Anderson,7.7,70758,75,
Powaqqatsi,1988,Documentary,David Fincher,7.2,82796,95,
Pound Puppies and the Legend of Big Paw,1988,"Animated, Adventure, Musical",Christopher Nolan,7.2,8145,114,117.1
The Presidio,1988,"Crime, Drama",Quentin Tarantino,4.3,37206,110,38.9
The Prince of Pennsylvania,1988,"Drama, Comedy",David Fincher,7.3,18445,141,28.4
Prison,1988,"Drama, Horror",Ridley Scott,7.0,30720,106,27.6
Pulse,1988,"Science Fiction, Horror",Paul Thomas Anderson,7.4,316,103,
Punchline,1988,"Drama, Comedy",Martin Scorsese,7.1,54483,82,
Purple People Eater,1988,"Family, Comedy, Science Fiction",Martin Scorsese,4.5,8618,96,
Pumpkinhead,1988,"Horror, Supernatural",Coen Brothers,5.7,78307,115,15.5
Puss in Boots,1988,"Fantasy, Musical",Paul Thomas Anderson,6.0,44253,97,
Rain Man,1988,"Drama, Comedy",Quentin Tarantino,6.3,194849,118,
Rambo III,1988,Action,Ridley Scott,7.9,6406,100,
Rampage,1988,"Crime, Drama",James Cameron,9.0,157786,173,68.4
Rattle and Hum,1988,"Documentary, Musical",Francis Ford Coppola,7.1,42376,94,152.5
Red Heat,1988,Action,Unknown Director,3.7,8854,91,54.3
Red Hot Skate Rock,1988,Musical,James Cameron,7.1,4617,120,
Remote Control,1988,"Comedy, Science Fiction, Romance",Alfred Hitchcock,7.2,11075,128,2670.3
Rent-A-Cop,1988,"Thriller, Comedy",Stanley Kubrick,6.2,12621,128,
Rented Lips,1988,"Comedy, Satire",Unknown Director,4.8,98171,111,
The Rescue,1988,Adventure,Peter Jackson,4.7,60665,127,
Return of the Killer Tomatoes,1988,"Comedy, Satire",Steven Spielberg,6.9,22534,101,
Return of the Living Dead Part II,1988,"Horror, Comedy",Stanley Kubrick,7.1,34192,78,
Robowar,1988,"Science Fiction, Action, Horror",Christopher Nolan,7.0,72482,100,40.1
Rocket Gibraltar,1988,Drama,Quentin Tarantino,8.5,54029,137,
Running on Empty,1988,Drama,Unknown Director,5.5,10538,108,
Salsa,1988,Romance,Christopher Nolan,7.4,56698,162,137.9
Satisfaction,1988,"Comedy, Drama",Paul Thomas Anderson,6.4,20780,107,74.4
Saturday the 14th Strikes Back,1988,"Comedy, Horror",Alfred Hitchcock,5.8,31459,116,19.0
Scarecrows,1988,Horror,Unknown Director,9.0,69622,89,
School Daze,1988,"Musical, Comedy, Drama",Francis Ford Coppola,6.7,37269,107,108.4
Scooby-Doo and the Ghoul School,1988,Animated,Paul Thomas Anderson,7.5,15303,121,
Scooby-Doo and the Reluctant Werewolf,1988,Animated,Christopher Nolan,5.6,31206,101,48.4
Scrooged,1988,"Comedy, Fantasy, Romance",Coen Brothers,6.1,26772,133,399.0
The Serpent and the Rainbow,1988,Horror,Peter Jackson,6.9,106798,122,1485.3
Seven Hours to Judgment,1988,Thriller,Quentin Tarantino,5.5,12829,112,47.6
The Seventh Sign,1988,"Drama, Horror",James Cameron,6.2,21786,121,183.0
Shadow Man,1988,Drama,Stanley Kubrick,7.0,23550,111,
Shadows in the Storm,1988,"Drama, Thriller",Steven Spielberg,6.2,65411,73,202.5
Shakedown,1988,"Drama, Action, Crime",Stanley Kubrick,6.9,53605,122,
She's Having a Baby,1988,"Comedy, Romance",Unknown Director,8.0,65790,117,
Shoot to Kill,1988,"Action, Thriller",Steven Spielberg,3.7,29184,99,
Short Circuit 2,1988,"Science Fiction, Comedy",Coen Brothers,6.8,74570,100,20.2
Slaughterhouse Rock,1988,"Supernatural, Horror",Paul Thomas Anderson,5.8,19294,117,239.2
Sleepaway Camp II: Unhappy Campers,1988,Slasher,Wes Anderson,7.5,22426,139,152.0
Slugs,1988,Horror,Paul Thomas Anderson,6.3,50409,149,
Some Girls,1988,"Comedy, Drama",Paul Thomas Anderson,4.5,2013,60,
Sorority Babes in the Slimeball Bowl-O-Rama,1988,"Science Fiction, Comedy, Horror",Peter Jackson,5.9,49200,105,
Space Mutiny,1988,"Science Fiction, Action",Denis Villeneuve,5.5,32164,118,
Spalding Gray: Terrors of Pleasure,1988,Unknown,Ridley Scott,6.1,100,102,
Spellbinder,1988,"Drama, Thriller",Denis Villeneuve,5.5,25495,115,682.2
Spellcaster,1988,"Drama, Horror",Unknown Director,6.5,23215,98,32.1
Spike of Bensonhurst,1988,"Comedy, Drama",Peter Jackson,7.6,31391,78,1033.6
"Splash, Too",1988,Comedy,Unknown Director,6.9,14843,125,1040.6
Split Decisions,1988,"Drama, Crime, Sports",Ridley Scott,6.1,983,121,
Stand and Deliver,1988,"Biography, Drama",Quentin Tarantino,8.5,32592,80,16.9
Stars and Bars,1988,Comedy,Unknown Director,5.4,28557,65,38.2
Stealing Home,1988,"Drama, Teen, Romance",Martin Scorsese,5.8,129917,118,86.5
Stormy Monday,1988,"Drama, Noir, Thriller",Stanley Kubrick,7.6,52432,142,
Storytelling Giant,1988,Drama,Peter Jackson,5.0,44559,87,135.6
Sunset,1988,"Crime, Mystery, War",Francis Ford Coppola,7.1,11940,84,
Sweet Hearts Dance,1988,"Comedy, Drama",Martin Scorsese,6.9,26197,93,
Sweet Lies,1988,Drama,Coen Brothers,6.0,24883,140,8.6
Switching Channels,1988,Comedy,Coen Brothers,5.1,6746,92,
Taffin,1988,Thriller,Steven Spielberg,7.3,3792,115,83.4
Talk Radio,1988,"Drama, Thriller",Paul Thomas Anderson,7.7,60990,134,
Tapeheads,1988,Comedy,Unknown Director,4.6,12543,90,1.8
Tequila Sunrise,1988,"Romance, Crime",Paul Thomas Anderson,5.1,143588,145,
The Deceivers,1988,"Drama, Adventure",Martin Scorsese,4.9,22972,132,
The Telephone,1988,"Comedy, Drama",Stanley Kubrick,7.3,88203,125,8.6
The Thin Blue Line,1988,Documentary,Paul Thomas Anderson,6.5,1968,95,399.3
They Live,1988,"Science Fiction, Action, Horror",Unknown Director,7.2,115318,87,703.0
Things Change,1988,"Comedy, Drama",Steven Spielberg,5.7,42669,125,1056.3
Tiger Warsaw,1988,Drama,Unknown Director,6.5,7655,77,23.4
Time Is Money,1988,Animated,Paul Thomas Anderson,7.5,66749,101,141.4
A Time of Destiny,1988,"Drama, War",Stanley Kubrick,8.2,37520,110,3064.5
Tin Toy,1988,"Animated, Short",Martin Scorsese,7.0,56138,122,74.1
Tommy Tricker and the Stamp Traveller,1988,"Fantasy, Adventure",Paul Thomas Anderson,6.1,136160,60,814.6
Too Good to Be True,1988,Drama,Coen Brothers,4.1,8338,99,
Torch Song Trilogy,1988,"Comedy, Drama",Wes Anderson,4.3,8673,112,174.1
Tougher Than Leather,1988,Action,Paul Thomas Anderson,6.5,78129,113,106.8
Track 29,1988,Drama,James Cameron,7.0,81733,132,28.0
Traxx,1988,"Action, Adventure, Comedy",Unknown Director,7.0,241,82,1087.2
Tucker: The Man and His Dream,1988,"Biography, Drama, Comedy",Wes Anderson,5.5,29540,89,81.5
The Tunnel,1988,"Drama, Thriller",Ridley Scott,6.2,14423,90,103.2
Twins,1988,Comedy,Wes Anderson,7.1,19549,102,780.7
Two Moon Junction,1988,"Drama, Erotic, Romance",Coen Brothers,8.1,27749,127,53.3
The Unbearable Lightness of Being,1988,"Drama, Romance",Peter Jackson,9.0,54438,124,156.5
The Understudy: Graveyard Shift II,1988,"Comedy, Horror",Martin Scorsese,8.4,19899,103,59.5
The Unnamable,1988,Horror,Denis Villeneuve,4.5,29701,119,354.8
A Very Brady Christmas,1988,"Comedy, Drama",Stanley Kubrick,4.3,27752,123,
Vibes,1988,"Romance, Adventure, Comedy",Christopher Nolan,5.7,92455,82,
Vice Versa,1988,Comedy,Quentin Tarantino,7.4,9543,102,443.3
Victim of the Brain,1988,Drama,Paul Thomas Anderson,6.2,143307,119,
War Party,1988,Drama,Steven Spielberg,7.6,6863,71,
War and Remembrance,1988,"Drama, War",Martin Scorsese,6.2,12607,113,
Watchers,1988,"Science Fiction, Horror",Unknown Director,9.1,174747,122,50.9
Waxwork,1988,"Comedy, Horror",Francis Ford Coppola,7.2,1396,113,
Who Framed Roger Rabbit,1988,"Comedy, Mystery, Fantasy",Ridley Scott,4.6,8663,124,39.0
Willow,1988,"Fantasy, Adventure, War",Stanley Kubrick,7.5,10416,113,
Witchcraft,1988,"Supernatural, Horror",Martin Scorsese,5.8,44767,93,118.4
Working Girl,1988,"Romance, Comedy, Drama",Wes Anderson,6.5,10486,118,50.3
World Gone Wild,1988,"Science Fiction, Action",Coen Brothers,6.0,22774,130,
The Wrong Guys,1988,Comedy,David Fincher,5.3,76829,102,568.9
Young Guns,1988,"Biography, Western, Action",Unknown Director,5.3,39013,123,37.1
84C MoPic,1989,"Drama, Found Footage, Independent",Ridley Scott,7.1,14725,110,130.2
The Abyss,1989,"Science Fiction, Drama",Christopher Nolan,8.2,105860,117,240.6
Action U.S.A.,1989,"Action, War",Unknown Director,7.7,14947,126,24.3
After Midnight,1989,Horror,Coen Brothers,4.7,9148,110,85.2
Alienator,1989,Science Fiction,Paul Thomas Anderson,7.3,42700,96,112.0
Alien Seed,1989,Science Fiction,Unknown Director,6.0,74796,103,
All Dogs Go to Heaven,1989,"Animated, Adventure, Comedy",Unknown Director,7.3,62471,113,317.0
Always,1989,"Fantasy, Romance, Drama",Stanley Kubrick,7.0,70539,94,
American Ninja 3: Blood Hunt,1989,"Martial Arts, Action",James Cameron,8.1,63897,108,360.7
Amityville 4: The Evil Escapes,1989,"Horror, Supernatural",Christopher Nolan,6.6,13402,86,
Arena,1989,"Science Fiction, Action",Peter Jackson,6.5,55085,118,45.9
Baby Cakes,1989,"Romance, Comedy, Drama",Martin Scorsese,8.8,68348,94,
Back to the Future Part II,1989,"Science Fiction, Comedy",Quentin Tarantino,7.4,163170,79,
The Banker,1989,"Crime, Horror, Thriller",Wes Anderson,9.6,151152,121,46.2
Batman,1989,"Superhero, Action",Unknown Director,5.5,12712,65,116.3
"Bert Rigby, You're a Fool",1989,Musical,Paul Thomas Anderson,6.8,120013,117,
Best of the Best,1989,Martial Arts,Francis Ford Coppola,5.7,99959,120,15.7
Beverly Hills Bodysnatchers,1989,Comedy,Paul Thomas Anderson,6.5,27215,128,
Beverly Hills Brats,1989,Comedy,Martin Scorsese,7.0,13803,100,
Beverly Hills Vamp,1989,"Comedy, Horror",Unknown Director,3.6,8066,122,
Beyond the Stars,1989,Drama,James Cameron,5.4,25784,60,116.3
The Big Picture,1989,Comedy,Stanley Kubrick,8.5,157349,117,91.0
Bill & Ted's Excellent Adventure,1989,"Science Fiction, Comedy",Unknown Director,6.3,87755,129,
Bionic Showdown: The Six Million Dollar Man and the Bionic Woman,1989,"Science Fiction, Action",Wes Anderson,6.4,73112,124,128.2
Black Rain,1989,"Noir, Action, Thriller",James Cameron,5.9,31858,104,20.0
Blades,1989,"Horror, Comedy",Peter Jackson,6.5,60219,127,
Blaze,1989,"Biography, Drama, Comedy",Alfred Hitchcock,3.3,17404,105,28.7
Blind Fury,1989,"Drama, Action, Comedy",Denis Villeneuve,6.9,6996,124,
Bloodfist,1989,"Martial Arts, Action",David Fincher,5.2,219360,90,32.4
Bloodhounds of Broadway,1989,"Drama, Musical, Comedy",Quentin Tarantino,6.6,105535,129,303.2
Born on the Fourth of July,1989,"Biography, Drama, War",Wes Anderson,5.3,85985,117,
Breaking In,1989,"Comedy, Crime",Coen Brothers,6.5,91715,99,
Bridesmaids,1989,Drama,Ridley Scott,8.7,102660,81,
The 'Burbs,1989,Comedy,David Fincher,8.0,55880,128,82.4
